Tabla,Columna,Descripción,Consideraciones
licitaciones,ocid,ID único que sigue lógica de OCDS,NA
licitaciones,id_lic,ID licitación generada por mercado público,NA
licitaciones,nombre_lic,nombre de la licitación,NA
licitaciones,desc_lic,descripción de la licitación,NA
licitaciones,nombre_institucion,nombre de la institución compradora,NA
licitaciones,nombre_uncompra,nombre de la unidad de compra compradora,NA
licitaciones,id_uncompra,ID único de unidad de compra,NA
licitaciones,region_uncompra,Región ingresada por la unidad de compra,NA
licitaciones,fecha_apertura,Fecha de apertura de ofertas de una licitación,Se utiliza como NULL el año 1980 dado que Postgress no admite NULLs en formato fecha.
licitaciones,fecha_cierre,fecha de cierre de ofertas de una licitación,Se utiliza como NULL el año 1980 dado que Postgress no admite NULLs en formato fecha.
licitaciones,fecha_adj,fecha en que la licitación se declara adjudicada,Se utiliza como NULL el año 1980 dado que Postgress no admite NULLs en formato fecha.
licitaciones,estado_lic,estado de la licitación,Los estados pueden ser: 1)Activo que sigue el curso normal de una licitación. 2) Suspendida: en la que la licitación se termina por alguna condición del comprador. 3) Revocada en la que la licitación no se continúa por alguna falta del proveedor en el contrato. 4) Desierta en la que la licitación se termina por no tener oferentes que se ajusten a los requerimientos.
licitaciones,tipo_lic,tipo de licitación,NA
licitaciones,etapa_lic,etapa de licitación según OCDS. ,Las etapas son 2:  1)Publicación: Es el estado inicial de una licitación que inicia desde que se publica una licitación hasta que se adjudica. No está determinado por la fecha de cierre. 2)Adjudicación: Una vez la licitación termina su etapa de evaluación y llega a un estado final.
licitaciones,monto_est,monto estimado de la licitación por el comprador,NA
licitaciones,monto_adj,monto adjudicado de la licitación,NA
licitaciones,moneda,moneda del monto publicado y adjudicado,NA
licitaciones,oferentes,número de oferentes de la licitación,NA
proveedores,id_lic,ID licitación generada por mercado público,NA
proveedores,id_sucursal,ID de la sucursal del proveedor,NA
proveedores,rut_sucursal,Rut de la sucursal del proveedor,Viene sin puntos ni guión para mantener consistencia con la fuente pero dentro del código de R existe una función para corregirlo.
proveedores,nombre_ empresa,nombre de la empresa,NA
proveedores,nombre_sucursal,nombre de la sucursal del proveedor,NA
proveedores,nombrelegal_sucursal,nombre legal de la sucursal declarado por el proveedor,NA
proveedores,pais_sucursal,pais de la sucursal declarada por el proveedor,NA
proveedores,region_sucursal,region de la sucursal del proveedor,NA
items,id_lic,ID licitación generada por mercado público,NA
items,id_item,ID del ítem transado,NA
items,sucur,nombre del ímte transado,NA
items,cantidad,cantidad transada del ítem,NA
items,unidad,unidad de medida del ítem,NA
items,costo_u,costo unitario del ítem,Por lo general son costos netos es decir no poseen impuestos ni descuentos por fletes.
items,moneda,moneda del costo unitario del ítem,NA
items,idproducto_onu,ID de producto basado en la categorización UNCCS,NA
rubros,idproducto_onu,ID de producto basado en la categorización UNCCS,NA
rubros,nombreproducto_onu,Nombre de producto basado en la categorización UNCCS,NA
rubros,id_nivel3,ID nivel 3 de producto basado en la categorización UNCCS .Se puede considerar también como categoría producto),NA
rubros,nombre_nivel3,Nombre nivel 3 de producto basado en la categorización UNCCS .Se puede considerar también como categoría producto),NA
rubros,nombre_nivel2,Nombre nivel 2 de producto basado en la categorización UNCCS .Se puede considerar también como categoría producto),NA
rubros,nombre_nivel1,Nombre nivel 1 de producto basado en la categorización UNCCS .Se puede considerar también como categoría producto),NA
cambio_moneda,moneda,ID del tipo de moneda,NA
cambio_moneda,cambioclp,Tipo de cambio mensual desde el ID tipo moneda a CLP,NA
cambio_moneda,fecha,fecha en la que se registra el tipo de cambio,NA
cambio_moneda,anio,año del tipo de cambio,NA
cambio_moneda,mes,mes del tipo de cambio,NA
cambio_moneda,dia,dia del tipo de cambio,NA
